epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,936.729,0.92468,0.65213,1.08313,0.85009,0.85709,0.89465,0.63701,1.05681,0.70179,1.19351,0.0060796,0.0060796,0.0060796
101,945.161,0.93223,0.64717,1.0808,0.91009,0.81605,0.90459,0.65019,1.03446,0.66635,1.18525,0.00604,0.00604,0.00604
102,953.596,0.91322,0.63783,1.07482,0.91205,0.83839,0.90372,0.65927,1.01022,0.6559,1.13841,0.0060004,0.0060004,0.0060004
103,961.932,0.90081,0.6447,1.071,0.89486,0.84588,0.91377,0.65616,1.02033,0.64949,1.13993,0.0059608,0.0059608,0.0059608
104,970.212,0.89392,0.63897,1.07464,0.82139,0.88228,0.90451,0.66945,1.00836,0.64412,1.14879,0.0059212,0.0059212,0.0059212
105,978.59,0.91026,0.64613,1.0726,0.89686,0.84154,0.91781,0.64844,1.0187,0.64701,1.14807,0.0058816,0.0058816,0.0058816
106,986.946,0.87446,0.62504,1.07058,0.84151,0.84121,0.899,0.66639,1.0011,0.6575,1.15136,0.005842,0.005842,0.005842
107,994.844,0.8713,0.61519,1.05381,0.86973,0.84542,0.90137,0.66008,1.00976,0.66171,1.16825,0.0058024,0.0058024,0.0058024
108,1002.82,0.87172,0.62844,1.06789,0.87897,0.87862,0.91204,0.66337,1.0011,0.62161,1.15067,0.0057628,0.0057628,0.0057628
109,1011.05,0.89885,0.63466,1.07296,0.88731,0.87691,0.91311,0.65492,1.02805,0.62411,1.16694,0.0057232,0.0057232,0.0057232
110,1019.96,0.90076,0.63677,1.07279,0.92819,0.86036,0.91177,0.66254,1.01863,0.63542,1.18174,0.0056836,0.0056836,0.0056836
111,1028.57,0.86846,0.61376,1.05909,0.92938,0.84887,0.90492,0.65457,1.00211,0.66685,1.18058,0.005644,0.005644,0.005644
112,1037.13,0.86232,0.60719,1.05545,0.9115,0.85971,0.90703,0.66304,0.99464,0.63894,1.17247,0.0056044,0.0056044,0.0056044
113,1045.45,0.87411,0.61434,1.0528,0.8687,0.85549,0.9003,0.65866,0.98779,0.6353,1.16181,0.0055648,0.0055648,0.0055648
114,1053.85,0.86695,0.61265,1.05853,0.85383,0.86505,0.89581,0.65513,0.99389,0.62133,1.14532,0.0055252,0.0055252,0.0055252
115,1062.33,0.86241,0.59233,1.04512,0.85969,0.86076,0.91227,0.67138,0.98445,0.61967,1.14616,0.0054856,0.0054856,0.0054856
116,1070.83,0.8716,0.60423,1.04968,0.91877,0.84666,0.90901,0.67025,0.99928,0.61314,1.15024,0.005446,0.005446,0.005446
117,1079.22,0.88222,0.60628,1.06028,0.92685,0.84629,0.90394,0.65925,0.99488,0.62183,1.15046,0.0054064,0.0054064,0.0054064
118,1087.78,0.86012,0.5996,1.03596,0.91132,0.84082,0.90762,0.66713,0.97816,0.59993,1.13922,0.0053668,0.0053668,0.0053668
119,1096.42,0.85908,0.60361,1.04226,0.87707,0.87315,0.89753,0.6619,0.98534,0.61062,1.14191,0.0053272,0.0053272,0.0053272
120,1104.87,0.83928,0.58839,1.03028,0.89143,0.84725,0.89027,0.65575,0.99099,0.61815,1.14881,0.0052876,0.0052876,0.0052876
121,1113.23,0.88639,0.62882,1.07512,0.87792,0.85425,0.90235,0.66496,1.00024,0.61806,1.14306,0.005248,0.005248,0.005248
122,1121.83,0.85486,0.59647,1.0466,0.90793,0.8242,0.89518,0.66504,0.9873,0.62205,1.13297,0.0052084,0.0052084,0.0052084
123,1130.23,0.86127,0.59938,1.05142,0.90467,0.86897,0.91508,0.66395,0.97197,0.60589,1.12862,0.0051688,0.0051688,0.0051688
124,1140.4,0.84811,0.59415,1.03895,0.8883,0.87648,0.91509,0.67145,0.97877,0.60475,1.13941,0.0051292,0.0051292,0.0051292
125,1149.08,0.85681,0.58814,1.04392,0.89884,0.8571,0.90512,0.66145,1.03471,0.63227,1.1702,0.0050896,0.0050896,0.0050896
126,1157.57,0.86341,0.58248,1.03827,0.8792,0.83946,0.89976,0.66475,1.02361,0.61858,1.18031,0.00505,0.00505,0.00505
127,1165.99,0.8535,0.59375,1.04579,0.8594,0.87084,0.90684,0.67261,1.00416,0.59665,1.14706,0.0050104,0.0050104,0.0050104
128,1174.46,0.82544,0.56824,1.02935,0.86694,0.89032,0.92002,0.683,0.96227,0.5646,1.12397,0.0049708,0.0049708,0.0049708
129,1183.12,0.84273,0.58137,1.03695,0.89836,0.87568,0.92767,0.69866,0.97506,0.57841,1.13817,0.0049312,0.0049312,0.0049312
130,1191.53,0.82046,0.56825,1.02261,0.91663,0.83932,0.91959,0.6894,0.95586,0.57703,1.1333,0.0048916,0.0048916,0.0048916
131,1199.41,0.7921,0.55032,1.02393,0.90025,0.85632,0.92295,0.66988,0.98606,0.59339,1.14346,0.004852,0.004852,0.004852
132,1207.71,0.81073,0.57159,1.0237,0.86296,0.87787,0.91325,0.6669,1.00143,0.59689,1.16188,0.0048124,0.0048124,0.0048124
133,1216.29,0.8229,0.56747,1.0257,0.87587,0.88079,0.91227,0.66057,0.98763,0.59238,1.14803,0.0047728,0.0047728,0.0047728
134,1224.71,0.81866,0.57584,1.02657,0.89951,0.87241,0.90706,0.67721,0.96256,0.59388,1.13907,0.0047332,0.0047332,0.0047332
135,1233.03,0.80955,0.56841,1.01884,0.86089,0.89991,0.91474,0.66522,1.01583,0.60033,1.18113,0.0046936,0.0046936,0.0046936
136,1241.4,0.79795,0.55177,1.01302,0.89454,0.90309,0.92735,0.67343,0.98872,0.57635,1.13822,0.004654,0.004654,0.004654
137,1249.77,0.80804,0.55732,1.02088,0.86216,0.90532,0.9133,0.67639,0.97327,0.56539,1.1393,0.0046144,0.0046144,0.0046144
138,1258.12,0.81321,0.55684,1.01583,0.88261,0.89131,0.91465,0.68233,0.97068,0.57864,1.13909,0.0045748,0.0045748,0.0045748
139,1266.5,0.81044,0.56092,1.02334,0.88188,0.87806,0.90578,0.67834,0.9877,0.5832,1.14414,0.0045352,0.0045352,0.0045352
140,1274.9,0.80868,0.56636,1.01651,0.87257,0.88757,0.90434,0.67446,0.96524,0.5895,1.13859,0.0044956,0.0044956,0.0044956
141,1283.2,0.80668,0.55918,1.01206,0.9027,0.87062,0.90948,0.68942,0.96295,0.57502,1.13805,0.004456,0.004456,0.004456
142,1291.07,0.79611,0.5477,1.0083,0.8842,0.87932,0.90793,0.68159,0.98957,0.57555,1.14471,0.0044164,0.0044164,0.0044164
143,1299.49,0.7794,0.54659,1.00439,0.90988,0.86267,0.91627,0.67344,0.98608,0.57388,1.15813,0.0043768,0.0043768,0.0043768
144,1307.98,0.79608,0.55981,1.01688,0.86088,0.89019,0.90773,0.67118,0.97529,0.5755,1.13086,0.0043372,0.0043372,0.0043372
